source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,minus_log10_p,GeneRatio,FoldEnrichment
GO:BP,GO:0048583,regulation of response to stimulus,2.473175163693749e-24,True,"""Any process that modulates the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",3993,188,101,20972,0.5372340425531915,0.02529426496368645,query_1,"['GO:0050789', 'GO:0050896']",23.606745123456083,0.5372340425531915,0.02529426496368645
GO:BP,GO:0048522,positive regulation of cellular process,3.7898220341331495e-24,True,"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",5739,188,121,20972,0.6436170212765957,0.0210838125108904,query_1,"['GO:0009987', 'GO:0048518', 'GO:0050794']",23.42138118354344,0.6436170212765957,0.0210838125108904
GO:BP,GO:0006810,transport,6.994217512774723e-24,True,"""The directed movement of substances (such as macromolecules, small molecules, ions) or cellular components (such as complexes and organelles) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or a transporter complex, a pore or a motor protein."" [GOC:dos, GOC:dph, GOC:jl, GOC:mah]",4370,188,105,20972,0.5585106382978723,0.02402745995423341,query_1,['GO:0051234'],23.155260865717235,0.5585106382978723,0.02402745995423341
GO:BP,GO:2000026,regulation of multicellular organismal development,1.8557694157430414e-23,True,"""Any process that modulates the frequency, rate or extent of multicellular organismal development."" [GOC:obol]",1392,188,60,20972,0.3191489361702128,0.04310344827586207,query_1,"['GO:0007275', 'GO:0050793', 'GO:0051239']",22.731475987002703,0.3191489361702128,0.04310344827586207
GO:BP,GO:0008284,positive regulation of cell population proliferation,2.2678288553252694e-23,True,"""Any process that activates or increases the rate or extent of cell proliferation."" [GOC:go_curators]",923,188,50,20972,0.26595744680851063,0.05417118093174431,query_1,"['GO:0008283', 'GO:0042127', 'GO:0048522']",22.644389723144375,0.26595744680851063,0.05417118093174431
GO:BP,GO:0032502,developmental process,2.359773748876513e-23,True,"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]",6535,188,128,20972,0.6808510638297872,0.01958684009181331,query_1,['GO:0008150'],22.62712963445565,0.6808510638297872,0.01958684009181331
GO:BP,GO:0048584,positive regulation of response to stimulus,2.359773748876513e-23,True,"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",2320,188,76,20972,0.40425531914893614,0.032758620689655175,query_1,"['GO:0048518', 'GO:0048583', 'GO:0050896']",22.62712963445565,0.40425531914893614,0.032758620689655175
GO:BP,GO:0009719,response to endogenous stimulus,3.925826723431307e-23,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:sm]",1467,188,61,20972,0.324468085106383,0.04158145875937287,query_1,['GO:0050896'],22.40606887302902,0.324468085106383,0.04158145875937287
GO:BP,GO:0051716,cellular response to stimulus,5.528271019954643e-23,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."" [GOC:bf, GOC:jl]",7425,188,136,20972,0.723404255319149,0.018316498316498318,query_1,"['GO:0009987', 'GO:0050896']",22.257410674102456,0.723404255319149,0.018316498316498318
GO:BP,GO:0051050,positive regulation of transport,6.211630195685139e-23,True,"""Any process that activates or increases the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]",818,188,47,20972,0.25,0.05745721271393643,query_1,"['GO:0006810', 'GO:0048518', 'GO:0051049']",22.20679440754006,0.25,0.05745721271393643
GO:BP,GO:0006915,apoptotic process,1.4221516150011038e-22,True,"""A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died."" [GOC:cjm, GOC:dhl, GOC:ecd, GOC:go_curators, GOC:mtg_apoptosis, GOC:tb, ISBN:0198506732, PMID:18846107, PMID:21494263]",1898,188,68,20972,0.3617021276595745,0.03582718651211802,query_1,['GO:0012501'],21.847054101181257,0.3617021276595745,0.03582718651211802
GO:BP,GO:0012501,programmed cell death,1.4317847405576331e-22,True,"""A process which begins when a cell receives an internal or external signal and activates a series of biochemical events (signaling pathway). The process ends with the death of the cell."" [GOC:lr, GOC:mtg_apoptosis]",1958,188,69,20972,0.3670212765957447,0.035240040858018386,query_1,['GO:0008219'],21.84412227044656,0.3670212765957447,0.035240040858018386
GO:BP,GO:0008219,cell death,1.5786071749336143e-22,True,"""Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538)."" [GOC:mah, GOC:mtg_apoptosis, PMID:25236395]",1962,188,69,20972,0.3670212765957447,0.035168195718654434,query_1,['GO:0009987'],21.801725927612626,0.3670212765957447,0.035168195718654434
GO:BP,GO:0002682,regulation of immune system process,4.339610250877362e-22,True,"""Any process that modulates the frequency, rate, or extent of an immune system process."" [GOC:add]",1594,188,62,20972,0.32978723404255317,0.03889585947302384,query_1,"['GO:0002376', 'GO:0050789']",21.362549273596734,0.32978723404255317,0.03889585947302384
GO:BP,GO:0051234,establishment of localization,7.147791688538595e-22,True,"""Any process that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos]",4804,188,107,20972,0.5691489361702128,0.022273105745212324,query_1,['GO:0051179'],21.145828112830703,0.5691489361702128,0.022273105745212324
GO:CC,GO:0042995,cell projection,1.2018481482423044e-21,True,"""A prolongation or process extending from a cell, e.g. a flagellum or axon."" [GOC:jl, PMID:16318917]",2566,187,76,22155,0.40641711229946526,0.029618082618862042,query_1,['GO:0110165'],20.92015040134035,0.40641711229946526,0.029618082618862042
GO:BP,GO:0043068,positive regulation of programmed cell death,1.2997050892782115e-21,True,"""Any process that activates or increases the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]",527,188,38,20972,0.20212765957446807,0.07210626185958255,query_1,"['GO:0012501', 'GO:0043067', 'GO:0048522']",20.886155180484597,0.20212765957446807,0.07210626185958255
GO:BP,GO:0006811,monoatomic ion transport,1.4190239490882024e-21,True,"""The directed movement of a monoatomic ion into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic ions (also called simple ions) are ions consisting of exactly one atom."" [GOC:ai]",1260,188,55,20972,0.2925531914893617,0.04365079365079365,query_1,['GO:0006810'],20.84801027482506,0.2925531914893617,0.04365079365079365
GO:BP,GO:0051179,localization,2.0216555287076616e-21,True,"""Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."" [GOC:ai, GOC:dos]",5493,188,114,20972,0.6063829787234043,0.02075368651010377,query_1,['GO:0008150'],20.694292842180282,0.6063829787234043,0.02075368651010377
GO:BP,GO:0048869,cellular developmental process,2.0216555287076616e-21,True,"""A biological process whose specific outcome is the progression of a cell over time from an initial condition to a later condition."" [GOC:isa_complete]",4444,188,102,20972,0.5425531914893617,0.022952295229522954,query_1,"['GO:0009987', 'GO:0032502']",20.694292842180282,0.5425531914893617,0.022952295229522954
GO:BP,GO:0030154,cell differentiation,2.0216555287076616e-21,True,"""The cellular developmental process in which a relatively unspecialized cell, e.g. embryonic or regenerative cell, acquires specialized structural and/or functional features that characterize a specific cell. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."" [ISBN:0198506732]",4443,188,102,20972,0.5425531914893617,0.022957461174881837,query_1,['GO:0048869'],20.694292842180282,0.5425531914893617,0.022957461174881837
GO:BP,GO:0030334,regulation of cell migration,2.794820951607205e-21,True,"""Any process that modulates the frequency, rate or extent of cell migration."" [GOC:go_curators]",944,188,48,20972,0.2553191489361702,0.05084745762711865,query_1,"['GO:0016477', 'GO:2000145']",20.553646009680865,0.2553191489361702,0.05084745762711865
GO:BP,GO:0099537,trans-synaptic signaling,2.8802904270702893e-21,True,"""Cell-cell signaling in either direction across the synaptic cleft."" [GOC:dos]",772,188,44,20972,0.23404255319148937,0.05699481865284974,query_1,['GO:0099536'],20.540563719006478,0.23404255319148937,0.05699481865284974
GO:BP,GO:0040011,locomotion,3.457927586686443e-21,True,"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]",1236,188,54,20972,0.2872340425531915,0.043689320388349516,query_1,['GO:0008150'],20.46118410563462,0.2872340425531915,0.043689320388349516
GO:BP,GO:0032101,regulation of response to external stimulus,3.8532437005516235e-21,True,"""Any process that modulates the frequency, rate or extent of a response to an external stimulus."" [GOC:mah]",1092,188,51,20972,0.2712765957446808,0.046703296703296704,query_1,"['GO:0009605', 'GO:0048583']",20.414173522921114,0.2712765957446808,0.046703296703296704
GO:BP,GO:0043065,positive regulation of apoptotic process,4.253843984928772e-21,True,"""Any process that activates or increases the frequency, rate or extent of cell death by apoptotic process."" [GOC:jl, GOC:mtg_apoptosis]",512,188,37,20972,0.19680851063829788,0.072265625,query_1,"['GO:0006915', 'GO:0042981', 'GO:0043068']",20.371218442436824,0.19680851063829788,0.072265625
GO:BP,GO:2000145,regulation of cell motility,5.048656551257226e-21,True,"""Any process that modulates the frequency, rate or extent of cell motility."" [GOC:mah]",1005,188,49,20972,0.26063829787234044,0.04875621890547264,query_1,"['GO:0040012', 'GO:0048870', 'GO:0050794']",20.29682417237584,0.26063829787234044,0.04875621890547264
GO:BP,GO:0009967,positive regulation of signal transduction,5.678667385572346e-21,True,"""Any process that activates or increases the frequency, rate or extent of signal transduction."" [GOC:sm]",1569,188,60,20972,0.3191489361702128,0.03824091778202677,query_1,"['GO:0007165', 'GO:0009966', 'GO:0010647', 'GO:0023056', 'GO:0048584']",20.245753568337307,0.3191489361702128,0.03824091778202677
GO:BP,GO:0048871,multicellular organismal-level homeostasis,8.916737606344666e-21,True,"""Any process involved in the maintenance of an internal steady state at the level of the multicellular organism."" [GOC:isa_complete]",839,188,45,20972,0.2393617021276596,0.05363528009535161,query_1,"['GO:0032501', 'GO:0042592']",20.04979401319365,0.2393617021276596,0.05363528009535161
GO:BP,GO:0048468,cell development,9.03281442611254e-21,True,"""The cellular developmental process in which a specific cell progresses from an immature to a mature state. Cell development start once cell commitment has taken place."" [GOC:go_curators]",2842,188,80,20972,0.425531914893617,0.028149190710767064,query_1,"['GO:0030154', 'GO:0048856', 'GO:0048869']",20.044176912001962,0.425531914893617,0.028149190710767064
GO:BP,GO:0002376,immune system process,9.071732372111771e-21,True,"""Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."" [GO_REF:0000022, GOC:add]",2913,188,81,20972,0.4308510638297872,0.027806385169927908,query_1,['GO:0008150'],20.042309770513505,0.4308510638297872,0.027806385169927908
GO:BP,GO:1901699,cellular response to nitrogen compound,9.72665283782823e-21,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nitrogen compound stimulus."" [GOC:pr, GOC:TermGenie]",676,188,41,20972,0.21808510638297873,0.060650887573964495,query_1,"['GO:0070887', 'GO:1901698']",20.01203658461862,0.21808510638297873,0.060650887573964495
GO:BP,GO:0099536,synaptic signaling,1.1722247596666023e-20,True,"""Cell-cell signaling to, from or within a synapse."" [GOC:dos]",803,188,44,20972,0.23404255319148937,0.0547945205479452,query_1,['GO:0007267'],19.930989109713472,0.23404255319148937,0.0547945205479452
GO:BP,GO:0007268,chemical synaptic transmission,1.4002934971462395e-20,True,"""The vesicular release of classical neurotransmitter molecules from a presynapse, across a chemical synapse, the subsequent activation of neurotransmitter receptors at the postsynapse of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse."" [GOC:jl, MeSH:D009435]",765,188,43,20972,0.22872340425531915,0.05620915032679739,query_1,['GO:0098916'],19.85378092801313,0.22872340425531915,0.05620915032679739
GO:BP,GO:0098916,anterograde trans-synaptic signaling,1.4002934971462395e-20,True,"""Cell-cell signaling from pre to post-synapse, across the synaptic cleft."" [GOC:dos]",765,188,43,20972,0.22872340425531915,0.05620915032679739,query_1,['GO:0099537'],19.85378092801313,0.22872340425531915,0.05620915032679739
GO:BP,GO:0044419,biological process involved in interspecies interaction between organisms,1.5978471148497898e-20,True,"""Any process evolved to enable an interaction with an organism of a different species."" [GOC:cc]",1777,188,63,20972,0.3351063829787234,0.03545301069217783,query_1,['GO:0008150'],19.79646477718317,0.3351063829787234,0.03545301069217783
GO:BP,GO:2000147,positive regulation of cell motility,1.5978471148497898e-20,True,"""Any process that activates or increases the frequency, rate or extent of cell motility."" [GOC:mah]",571,188,38,20972,0.20212765957446807,0.06654991243432574,query_1,"['GO:0040017', 'GO:0048522', 'GO:0048870', 'GO:2000145']",19.79646477718317,0.20212765957446807,0.06654991243432574
